fips,TOT_POP,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_number,COPD_number,diabetes_number,CKD_number,Urban_rural_code,Obesity_number
26127,26625,26625,167,303,11.3,10.0,1.3,1.5,3.5,5.0,2546,6396,5727,3406,14.1,35.4,31.7,18.8,4070,15.5,23.3,21.3,50374,47914,52834,12456,11696,760,6.1,50374,88.9,287.0,249.7,97.8,87.6,7.9,6.7,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0,26317,7218,27.4,26,127,20545,10213,2314,2823,771,6,7930
42121,51266,51266,-557,1302,9.7,13.1,-3.4,0.0,-7.4,-7.4,3913,18496,9051,6742,10.2,48.4,23.7,17.6,7537,15.0,20.9,18.8,45761,43018,48504,22421,21317,1104,4.9,45761,75.2,320.5,273.3,100.8,88.2,8.7,7.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8,52880,15253,28.8,42,121,41304,19282,4097,5416,1454,5,13713
18133,37779,37779,169,5022,10.7,9.2,1.5,0.6,2.4,3.0,2678,10860,7263,3984,10.8,43.8,29.3,16.1,3978,12.2,14.8,13.3,54718,50857,58579,16882,16245,637,3.8,54718,98.2,230.8,212.0,80.3,74.4,6.5,6.1,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6,37543,8058,21.5,18,133,30379,14283,2792,3698,871,2,10238
40131,91984,91984,505,1216,10.6,9.1,1.4,0.5,3.7,4.2,4804,19984,21265,14803,7.9,32.8,34.9,24.3,8855,9.8,12.5,10.8,61849,58266,65432,44792,43309,1483,3.3,61849,119.1,206.7,189.1,73.9,68.5,6.2,5.8,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,6,90098,19479,21.6,40,131,70506,33057,5716,7913,2118,3,25735
26025,134487,134487,129,4326,12.0,10.3,1.7,2.3,-3.0,-0.7,8123,33106,30526,19318,8.9,36.4,33.5,21.2,22602,17.3,27.6,25.2,48413,45124,51702,62865,60219,2646,4.2,48413,85.5,287.0,249.7,97.8,87.6,7.9,6.7,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,32,134327,31227,23.2,26,25,103686,49754,10002,12987,3490,4,38882
6075,883305,883305,4139,24235,10.2,7.5,2.6,7.2,-5.1,2.1,79408,84630,131509,394004,11.5,12.3,19.1,57.1,87596,10.1,10.9,11.1,110601,107200,114002,575567,562022,13545,2.4,110601,147.0,279.6,243.8,96.2,87.1,7.2,6.2,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337,864263,179193,20.7,6,75,764613,182564,28886,67258,17872,1,128455
13321,20299,20299,-237,89,10.0,11.4,-1.3,0.1,-10.4,-10.3,2659,5932,4124,1470,18.7,41.8,29.1,10.4,4128,20.5,33.6,34.1,48708,45569,51847,9182,8778,404,4.4,48708,83.1,228.7,202.9,79.1,71.9,7.0,6.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0,20809,5131,24.7,13,321,15759,7266,1669,2438,608,4,5185
46003,2801,2801,44,96,15.5,8.6,6.8,7.2,1.8,9.0,238,607,592,372,13.2,33.6,32.7,20.6,276,10.2,14.0,13.1,53107,47916,58298,1557,1512,45,2.9,53107,93.1,240.4,219.1,92.8,84.8,9.2,8.6,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0,2739,732,26.7,46,3,2106,850,128,216,64,6,640
42017,628195,628195,1167,8038,9.3,9.7,-0.3,1.2,1.1,2.3,27363,128245,109517,180201,6.1,28.8,24.6,40.5,35350,5.7,6.6,6.0,88538,86842,90234,341069,328286,12783,3.7,88538,145.4,320.5,273.3,100.8,88.2,8.7,7.2,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,90,626486,151809,24.2,42,17,499979,196424,31984,53389,13632,2,148994
35019,4341,4341,-68,573,10.3,11.0,-0.7,0.0,-14.9,-14.9,677,1412,881,391,20.1,42.0,26.2,11.6,915,24.3,29.4,26.9,29515,26216,32814,1624,1534,90,5.5,29515,62.3,244.8,213.8,91.1,82.1,7.7,7.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0,4426,1149,26.0,35,19,3436,1660,201,492,129,6,1227
